classe,miroir_polymarket,volume_usd,categorie,titre
A,0,0,"Football","Ivory Coast to defeat Ghana in the 2027 AFCON qualifiers on Sep 24?"
A,0,7,"Football","DR Congo to defeat Equatorial Guinea in the 2027 AFCON qualifiers on Sep 24?"
A,0,0,"Football","Sierra Leone to defeat Zimbabwe in the 2027 AFCON qualifiers on Sep 24?"
A,0,0,"Football","Mauritania to defeat Central African Republic in the 2027 AFCON qualifiers on Sep 24?"
A,0,90,"Football","Cameroon to defeat Comoros in the 2027 AFCON qualifiers on Sep 24?"
A,0,56,"Football","Tunisia to defeat Uganda in the 2027 AFCON qualifiers on Sep 24?"
A,0,5,"Football","Libya to defeat Botswana in the 2027 AFCON qualifiers on Sep 24?"
A,0,0,"Football","Namibia to defeat Congo in the 2027 AFCON qualifiers on Sep 24?"
B,1,138,"Crypto","Who will be the top ActBlue fundraiser on Sep 25, 2026?"
A,1,168,"Sports","Falcons vs. Packers"
A,1,37,"Crypto","What will South Korea ETF (EWY) hit Week of September 21 2026?"
A,1,53,"Crypto","What will Silver (XAGUSD) hit Week of September 21 2026?"
A,1,74,"Crypto","What will Gold (XAUUSD) hit Week of September 21 2026?"
A,1,538,"Crypto","What will S&P 500 (SPY) hit Week of September 21 2026?"
A,0,0,"Football","Algeria to defeat Zambia in the 2027 AFCON qualifiers on Sep 25?"
A,0,0,"Football","Togo to defeat Burundi in the 2027 AFCON qualifiers on Sep 25?"
A,0,0,"Football","Senegal to defeat Mozambique in the 2027 AFCON qualifiers on Sep 25?"
A,0,0,"Football","Sudan to defeat Ethiopia in the 2027 AFCON qualifiers on Sep 25?"
A,0,0,"Football","Mali to defeat Cape Verde in the 2027 AFCON qualifiers on Sep 25?"
A,0,0,"Football","Rwanda to defeat Liberia in the 2027 AFCON qualifiers on Sep 25?"
A,0,0,"Football","Tanzania to defeat Guinea-Bissau in the 2027 AFCON qualifiers on Sep 25?"
A,0,0,"Football","Nigeria to defeat Madagascar in the 2027 AFCON qualifiers on Sep 25?"
A,0,38,"Football","Morocco to defeat Gabon in the 2027 AFCON qualifiers on Sep 25?"
A,0,0,"Football","Niger to defeat Lesotho in the 2027 AFCON qualifiers on Sep 25?"
A,0,0,"Football","Malawi to defeat South Sudan in the 2027 AFCON qualifiers on Sep 25?"
A,0,0,"Football","Egypt to defeat Angola in the 2027 AFCON qualifiers on Sep 25?"
A,0,0,"Football","Gambia to defeat Somalia in the 2027 AFCON qualifiers on Sep 25?"
A,0,0,"Football","Burkina Faso to defeat Benin in the 2027 AFCON qualifiers on Sep 25?"
A,0,0,"Football","Kenya to defeat Eritrea in the 2027 AFCON qualifiers on Sep 26?"
A,0,0,"Football","South Africa to defeat Guinea in the 2027 AFCON qualifiers on Sep 26?"
A,1,1,"Sports","Cardinals vs. 49ers"
A,1,0,"Sports","Seahawks vs. Commanders"
A,1,1,"Sports","Chiefs vs. Dolphins"
A,1,0,"Sports","Jets vs. Lions"
A,1,0,"Sports","Patriots vs. Jaguars"
A,1,0,"Sports","Panthers vs. Browns"
A,1,0,"Sports","Bengals vs. Steelers"
A,1,0,"Sports","Titans vs. Giants"
A,1,0,"Sports","Texans vs. Colts"
A,1,0,"Sports","Chargers vs. Bills"
A,1,78,"Crypto","What price will Ethereum hit September 21-27?"
A,1,37,"Crypto","What price will Bitcoin hit September 21-27?"
A,1,4,"Crypto","Will Nike (NKE) beat quarterly earnings?"
A,1,0,"Crypto","Colombia rate decision in September"
A,1,0,"Esports","PGL Wallachia Season 9: Winner"
A,1,0,"Sports","Eagles vs. Bears"
A,1,0,"Sports","Rams vs. Broncos"
A,1,0,"Sports","Ravens vs. Cowboys"
A,1,0,"Sports","Raiders vs. Saints"
A,1,0,"Sports","Vikings vs. Buccaneers"
A,1,0,"Crypto","Will Micron (MU) beat quarterly earnings?"
A,1,27,"Crypto","Core PCE YoY - August 2026"
C,1,0,"Crypto","What will Trump say during his remarks at Xi Jinping’s state arrival?"
A,1,203,"Crypto","ISM Manufacturing PMI - September 2026"
A,1,4114,"Economy","Fed rate cut by __?"
A,1,58,"Crypto","What price will Ethereum hit in September?"
A,1,155,"F1","Azerbaijan Grand Prix: Driver Winner"
A,1,0,"F1","Azerbaijan Grand Prix: Driver Pole Position"
A,1,0,"F1","Azerbaijan Grand Prix: Driver Podium Finish"
A,1,0,"Crypto","PPI YoY - September 2026"
A,1,0,"Crypto","September Inflation US - Annual"
A,1,54,"Crypto","South Korea exports YoY for September"
A,1,174,"Crypto","What will WTI Crude Oil (WTI) hit in September 2026?"
A,1,114,"Crypto","What will US Dollar Index (DXY) hit in September 2026?"
B,1,12,"Politics","Will Max Miller drop out of the OH-07 race by...?"
B,1,0,"Politics","Will Donald Trump attend UFC 332?"
A,1,5,"Politics","Rio de Janeiro Governor Election Winner"
B,1,0,"Politics","US-Iran Hormuz Agreement by...?"
C,1,23,"Politics","Will the Iranian regime fall by September 30?"
A,1,233,"Politics","Brazil Presidential Election First Round: Margin of Victory"
B,0,66,"Esports","New case or terminal to be added in the game by the end of September?"
A,0,473,"Specials","FIFA U-15 Tournament: Israel U-15 vs Palestine U-15 Opening Match?"
B,1,2843,"Pre-TGE","Will Pacifica launch a token by September 30, 2026?"
B,1,2575,"Pre-TGE","Will Theo launch a token by September 30, 2026?"
A,1,0,"Crypto","Will US crude oil reserves fall to __ by October 30?"
A,1,0,"Esports","Worlds 2026: Winner"
A,1,101,"Crypto","Fed Decision in October?"
